,政黨,得票數,得票率,縣市,區
1837,一邊一國行動黨,634,4.4416,臺南市,後壁區
1838,勞動黨,29,0.2032,臺南市,後壁區
1839,綠黨,236,1.6534,臺南市,後壁區
1840,宗教聯盟,43,0.3012,臺南市,後壁區
1841,民主進步黨,6730,47.1487,臺南市,後壁區
1842,台灣民眾黨,1109,7.7694,臺南市,後壁區
1843,台灣維新,14,0.0981,臺南市,後壁區
1844,台澎黨,30,0.2102,臺南市,後壁區
1845,國會政黨聯盟,26,0.1821,臺南市,後壁區
1846,台灣團結聯盟,85,0.5955,臺南市,後壁區
1849,合一行動聯盟,21,0.1823,臺南市,東山區
1850,中華統一促進黨,43,0.3734,臺南市,東山區
1851,親民黨,327,2.8393,臺南市,東山區
1852,安定力量,67,0.5817,臺南市,東山區
1853,台灣基進,344,2.9869,臺南市,東山區
1854,時代力量,641,5.5657,臺南市,東山區
1855,新黨,130,1.1288,臺南市,東山區
1856,喜樂島聯盟,36,0.3126,臺南市,東山區
1857,中國國民黨,3132,27.1946,臺南市,東山區
1858,一邊一國行動黨,483,4.1938,臺南市,東山區
1859,勞動黨,23,0.1997,臺南市,東山區
1860,綠黨,131,1.1374,臺南市,東山區
1861,宗教聯盟,54,0.4689,臺南市,東山區
1862,民主進步黨,5170,44.8902,臺南市,東山區
1863,台灣民眾黨,735,6.3819,臺南市,東山區
1864,台灣維新,39,0.3386,臺南市,東山區
1865,台澎黨,43,0.3734,臺南市,東山區
1866,國會政黨聯盟,27,0.2344,臺南市,東山區
1867,台灣團結聯盟,71,0.6165,臺南市,東山區
1870,合一行動聯盟,29,0.1036,臺南市,麻豆區
1871,中華統一促進黨,79,0.2822,臺南市,麻豆區
1872,親民黨,723,2.5830,臺南市,麻豆區
1873,安定力量,178,0.6359,臺南市,麻豆區
1874,台灣基進,1134,4.0513,臺南市,麻豆區
1875,時代力量,1943,6.9415,臺南市,麻豆區
1876,新黨,93,0.3322,臺南市,麻豆區
1877,喜樂島聯盟,65,0.2322,臺南市,麻豆區
1878,中國國民黨,5189,18.5381,臺南市,麻豆區
1879,一邊一國行動黨,1060,3.7869,臺南市,麻豆區
1880,勞動黨,17,0.0607,臺南市,麻豆區
1881,綠黨,525,1.8756,臺南市,麻豆區
1882,宗教聯盟,81,0.2894,臺南市,麻豆區
1883,民主進步黨,14359,51.2986,臺南市,麻豆區
1884,台灣民眾黨,2245,8.0204,臺南市,麻豆區
1885,台灣維新,56,0.2001,臺南市,麻豆區
1886,台澎黨,36,0.1286,臺南市,麻豆區
1887,國會政黨聯盟,64,0.2286,臺南市,麻豆區
1888,台灣團結聯盟,115,0.4108,臺南市,麻豆區
1891,合一行動聯盟,22,0.1521,臺南市,下營區
1892,中華統一促進黨,23,0.1590,臺南市,下營區
1893,親民黨,385,2.6616,臺南市,下營區
1894,安定力量,90,0.6222,臺南市,下營區
1895,台灣基進,532,3.6778,臺南市,下營區
1896,時代力量,885,6.1182,臺南市,下營區
1897,新黨,78,0.5392,臺南市,下營區
1898,喜樂島聯盟,32,0.2212,臺南市,下營區
1899,中國國民黨,3516,24.3069,臺南市,下營區
1900,一邊一國行動黨,745,5.1504,臺南市,下營區
1901,勞動黨,29,0.2005,臺南市,下營區
1902,綠黨,228,1.5762,臺南市,下營區
1903,宗教聯盟,51,0.3526,臺南市,下營區
1904,民主進步黨,6567,45.3992,臺南市,下營區
1905,台灣民眾黨,1104,7.6322,臺南市,下營區
1906,台灣維新,19,0.1314,臺南市,下營區
1907,台澎黨,36,0.2489,臺南市,下營區
1908,國會政黨聯盟,75,0.5185,臺南市,下營區
1909,台灣團結聯盟,48,0.3318,臺南市,下營區
1912,合一行動聯盟,16,0.1223,臺南市,六甲區
1913,中華統一促進黨,51,0.3899,臺南市,六甲區
1914,親民黨,422,3.2263,臺南市,六甲區
1915,安定力量,59,0.4511,臺南市,六甲區
1916,台灣基進,489,3.7385,臺南市,六甲區
1917,時代力量,813,6.2156,臺南市,六甲區
1918,新黨,74,0.5657,臺南市,六甲區
1919,喜樂島聯盟,32,0.2446,臺南市,六甲區
1920,中國國民黨,2848,21.7737,臺南市,六甲區
1921,一邊一國行動黨,594,4.5413,臺南市,六甲區
1922,勞動黨,23,0.1758,臺南市,六甲區
1923,綠黨,193,1.4755,臺南市,六甲區
1924,宗教聯盟,46,0.3517,臺南市,六甲區
1925,民主進步黨,6167,47.1483,臺南市,六甲區
1926,台灣民眾黨,1087,8.3104,臺南市,六甲區
1927,台灣維新,28,0.2141,臺南市,六甲區
1928,台澎黨,19,0.1453,臺南市,六甲區
1929,國會政黨聯盟,65,0.4969,臺南市,六甲區
1930,台灣團結聯盟,54,0.4128,臺南市,六甲區
1933,合一行動聯盟,26,0.1946,臺南市,官田區
1934,中華統一促進黨,70,0.5238,臺南市,官田區
1935,親民黨,381,2.8509,臺南市,官田區
1936,安定力量,85,0.6360,臺南市,官田區
1937,台灣基進,533,3.9883,臺南市,官田區
1938,時代力量,914,6.8393,臺南市,官田區
1939,新黨,76,0.5687,臺南市,官田區
1940,喜樂島聯盟,34,0.2544,臺南市,官田區
1941,中國國民黨,2827,21.1538,臺南市,官田區
1942,一邊一國行動黨,869,6.5025,臺南市,官田區
1943,勞動黨,13,0.0973,臺南市,官田區
1944,綠黨,220,1.6462,臺南市,官田區
1945,宗教聯盟,47,0.3517,臺南市,官田區
1946,民主進步黨,6167,46.1464,臺南市,官田區
1947,台灣民眾黨,961,7.1910,臺南市,官田區
1948,台灣維新,40,0.2993,臺南市,官田區
1949,台澎黨,25,0.1871,臺南市,官田區
1950,國會政黨聯盟,36,0.2694,臺南市,官田區
1951,台灣團結聯盟,40,0.2993,臺南市,官田區
1954,合一行動聯盟,8,0.1345,臺南市,大內區
1955,中華統一促進黨,27,0.4539,臺南市,大內區
1956,親民黨,180,3.0262,臺南市,大內區
1957,安定力量,41,0.6893,臺南市,大內區
1958,台灣基進,171,2.8749,臺南市,大內區
1959,時代力量,259,4.3544,臺南市,大內區
1960,新黨,18,0.3026,臺南市,大內區
1961,喜樂島聯盟,7,0.1177,臺南市,大內區
1962,中國國民黨,1523,25.6052,臺南市,大內區
1963,一邊一國行動黨,423,7.1116,臺南市,大內區
1964,勞動黨,7,0.1177,臺南市,大內區
1965,綠黨,59,0.9919,臺南市,大內區
1966,宗教聯盟,25,0.4203,臺南市,大內區
1967,民主進步黨,2801,47.0915,臺南市,大內區
1968,台灣民眾黨,309,5.1950,臺南市,大內區
1969,台灣維新,45,0.7566,臺南市,大內區
1970,台澎黨,6,0.1009,臺南市,大內區
1971,國會政黨聯盟,10,0.1681,臺南市,大內區
1972,台灣團結聯盟,29,0.4876,臺南市,大內區
1975,合一行動聯盟,42,0.1156,臺南市,佳里區
1976,中華統一促進黨,103,0.2835,臺南市,佳里區
1977,親民黨,946,2.6036,臺南市,佳里區
1978,安定力量,248,0.6825,臺南市,佳里區
1979,台灣基進,1711,4.7090,臺南市,佳里區
1980,時代力量,2548,7.0125,臺南市,佳里區
1981,新黨,145,0.3991,臺南市,佳里區
1982,喜樂島聯盟,59,0.1624,臺南市,佳里區
1983,中國國民黨,8516,23.4375,臺南市,佳里區
1984,一邊一國行動黨,1063,2.9256,臺南市,佳里區
1985,勞動黨,31,0.0853,臺南市,佳里區
1986,綠黨,703,1.9348,臺南市,佳里區
1987,宗教聯盟,101,0.2780,臺南市,佳里區
1988,民主進步黨,16782,46.1869,臺南市,佳里區
1989,台灣民眾黨,3070,8.4492,臺南市,佳里區
1990,台灣維新,85,0.2339,臺南市,佳里區
1991,台澎黨,26,0.0716,臺南市,佳里區
1992,國會政黨聯盟,40,0.1101,臺南市,佳里區
1993,台灣團結聯盟,116,0.3193,臺南市,佳里區
1996,合一行動聯盟,16,0.1020,臺南市,學甲區
1997,中華統一促進黨,26,0.1658,臺南市,學甲區
1998,親民黨,397,2.5314,臺南市,學甲區
1999,安定力量,58,0.3698,臺南市,學甲區
2000,台灣基進,633,4.0362,臺南市,學甲區
2001,時代力量,955,6.0894,臺南市,學甲區
2002,新黨,62,0.3953,臺南市,學甲區
2003,喜樂島聯盟,18,0.1148,臺南市,學甲區
2004,中國國民黨,3289,20.9718,臺南市,學甲區
2005,一邊一國行動黨,532,3.3922,臺南市,學甲區
2006,勞動黨,18,0.1148,臺南市,學甲區
2007,綠黨,243,1.5494,臺南市,學甲區
2008,宗教聯盟,45,0.2869,臺南市,學甲區
2009,民主進步黨,8037,51.2466,臺南市,學甲區
2010,台灣民眾黨,1201,7.6580,臺南市,學甲區
2011,台灣維新,37,0.2359,臺南市,學甲區
2012,台澎黨,24,0.1530,臺南市,學甲區
2013,國會政黨聯盟,35,0.2232,臺南市,學甲區
2014,台灣團結聯盟,57,0.3635,臺南市,學甲區
2017,合一行動聯盟,13,0.0843,臺南市,西港區
2018,中華統一促進黨,49,0.3177,臺南市,西港區
2019,親民黨,348,2.2567,臺南市,西港區
2020,安定力量,102,0.6614,臺南市,西港區
2021,台灣基進,676,4.3836,臺南市,西港區
2022,時代力量,1041,6.7505,臺南市,西港區
2023,新黨,47,0.3048,臺南市,西港區
2024,喜樂島聯盟,31,0.2010,臺南市,西港區
2025,中國國民黨,3142,20.3748,臺南市,西港區
2026,一邊一國行動黨,530,3.4369,臺南市,西港區
2027,勞動黨,26,0.1686,臺南市,西港區
2028,綠黨,287,1.8611,臺南市,西港區
2029,宗教聯盟,86,0.5577,臺南市,西港區
2030,民主進步黨,7713,50.0162,臺南市,西港區
2031,台灣民眾黨,1178,7.6389,臺南市,西港區
2032,台灣維新,29,0.1881,臺南市,西港區
2033,台澎黨,13,0.0843,臺南市,西港區
2034,國會政黨聯盟,34,0.2205,臺南市,西港區
2035,台灣團結聯盟,76,0.4928,臺南市,西港區
2038,合一行動聯盟,16,0.1188,臺南市,七股區
2039,中華統一促進黨,64,0.4752,臺南市,七股區
2040,親民黨,392,2.9108,臺南市,七股區
2041,安定力量,99,0.7351,臺南市,七股區
2042,台灣基進,550,4.0841,臺南市,七股區
2043,時代力量,781,5.7994,臺南市,七股區
2044,新黨,58,0.4307,臺南市,七股區
2045,喜樂島聯盟,21,0.1559,臺南市,七股區
2046,中國國民黨,2848,21.1480,臺南市,七股區
2047,一邊一國行動黨,629,4.6707,臺南市,七股區
2048,勞動黨,25,0.1856,臺南市,七股區
2049,綠黨,181,1.3440,臺南市,七股區
2050,宗教聯盟,40,0.2970,臺南市,七股區
2051,民主進步黨,6736,50.0186,臺南市,七股區
2052,台灣民眾黨,855,6.3489,臺南市,七股區
2053,台灣維新,58,0.4307,臺南市,七股區
2054,台澎黨,24,0.1782,臺南市,七股區
2055,國會政黨聯盟,29,0.2153,臺南市,七股區
2056,台灣團結聯盟,61,0.4530,臺南市,七股區
2059,合一行動聯盟,25,0.2132,臺南市,將軍區
2060,中華統一促進黨,25,0.2132,臺南市,將軍區
2061,親民黨,273,2.3278,臺南市,將軍區
2062,安定力量,64,0.5457,臺南市,將軍區
2063,台灣基進,447,3.8114,臺南市,將軍區
2064,時代力量,615,5.2439,臺南市,將軍區
2065,新黨,53,0.4519,臺南市,將軍區
2066,喜樂島聯盟,23,0.1961,臺南市,將軍區
2067,中國國民黨,2299,19.6027,臺南市,將軍區
2068,一邊一國行動黨,596,5.0819,臺南市,將軍區
2069,勞動黨,15,0.1279,臺南市,將軍區
2070,綠黨,139,1.1852,臺南市,將軍區
2071,宗教聯盟,37,0.3155,臺南市,將軍區
2072,民主進步黨,6305,53.7602,臺南市,將軍區
2073,台灣民眾黨,701,5.9771,臺南市,將軍區
2074,台灣維新,28,0.2387,臺南市,將軍區
2075,台澎黨,26,0.2217,臺南市,將軍區
2076,國會政黨聯盟,11,0.0938,臺南市,將軍區
2077,台灣團結聯盟,46,0.3922,臺南市,將軍區
2080,合一行動聯盟,8,0.1273,臺南市,北門區
2081,中華統一促進黨,20,0.3183,臺南市,北門區
2082,親民黨,188,2.9922,臺南市,北門區
2083,安定力量,30,0.4775,臺南市,北門區
2084,台灣基進,274,4.3610,臺南市,北門區
2085,時代力量,291,4.6315,臺南市,北門區
2086,新黨,43,0.6844,臺南市,北門區
2087,喜樂島聯盟,13,0.2069,臺南市,北門區
2088,中國國民黨,1512,24.0649,臺南市,北門區
2089,一邊一國行動黨,342,5.4433,臺南市,北門區
2090,勞動黨,7,0.1114,臺南市,北門區
2091,綠黨,74,1.1778,臺南市,北門區
2092,宗教聯盟,7,0.1114,臺南市,北門區
2093,民主進步黨,3023,48.1140,臺南市,北門區
2094,台灣民眾黨,395,6.2868,臺南市,北門區
2095,台灣維新,17,0.2706,臺南市,北門區
2096,台澎黨,6,0.0955,臺南市,北門區
2097,國會政黨聯盟,13,0.2069,臺南市,北門區
2098,台灣團結聯盟,20,0.3183,臺南市,北門區
2101,合一行動聯盟,35,0.1293,臺南市,新化區
2102,中華統一促進黨,55,0.2032,臺南市,新化區
2103,親民黨,862,3.1849,臺南市,新化區
2104,安定力量,233,0.8609,臺南市,新化區
2105,台灣基進,1120,4.1382,臺南市,新化區
2106,時代力量,1945,7.1864,臺南市,新化區
2107,新黨,140,0.5173,臺南市,新化區
2108,喜樂島聯盟,59,0.2180,臺南市,新化區
2109,中國國民黨,7508,27.7406,臺南市,新化區
2110,一邊一國行動黨,611,2.2575,臺南市,新化區
2111,勞動黨,34,0.1256,臺南市,新化區
2112,綠黨,498,1.8400,臺南市,新化區
2113,宗教聯盟,67,0.2476,臺南市,新化區
2114,民主進步黨,11144,41.1749,臺南市,新化區
2115,台灣民眾黨,2262,8.3577,臺南市,新化區
2116,台灣維新,263,0.9717,臺南市,新化區
2117,台澎黨,27,0.0998,臺南市,新化區
2118,國會政黨聯盟,55,0.2032,臺南市,新化區
2119,台灣團結聯盟,147,0.5431,臺南市,新化區
2122,合一行動聯盟,33,0.1106,臺南市,善化區
2123,中華統一促進黨,79,0.2647,臺南市,善化區
2124,親民黨,825,2.7647,臺南市,善化區
2125,安定力量,237,0.7942,臺南市,善化區
2126,台灣基進,1369,4.5876,臺南市,善化區
2127,時代力量,2579,8.6425,臺南市,善化區
2128,新黨,128,0.4289,臺南市,善化區
2129,喜樂島聯盟,55,0.1843,臺南市,善化區
2130,中國國民黨,6607,22.1407,臺南市,善化區
2131,一邊一國行動黨,1108,3.7130,臺南市,善化區
2132,勞動黨,43,0.1441,臺南市,善化區
2133,綠黨,647,2.1682,臺南市,善化區
2134,宗教聯盟,46,0.1542,臺南市,善化區
2135,民主進步黨,12717,42.6159,臺南市,善化區
2136,台灣民眾黨,3132,10.4956,臺南市,善化區
2137,台灣維新,40,0.1340,臺南市,善化區
2138,台澎黨,23,0.0771,臺南市,善化區
2139,國會政黨聯盟,70,0.2346,臺南市,善化區
2140,台灣團結聯盟,103,0.3452,臺南市,善化區
2143,合一行動聯盟,31,0.1368,臺南市,新市區
2144,中華統一促進黨,24,0.1059,臺南市,新市區
2145,親民黨,596,2.6306,臺南市,新市區
2146,安定力量,142,0.6268,臺南市,新市區
2147,台灣基進,1011,4.4624,臺南市,新市區
2148,時代力量,1855,8.1877,臺南市,新市區
2149,新黨,95,0.4193,臺南市,新市區
2150,喜樂島聯盟,44,0.1942,臺南市,新市區
2151,中國國民黨,4998,22.0604,臺南市,新市區
2152,一邊一國行動黨,590,2.6042,臺南市,新市區
2153,勞動黨,50,0.2207,臺南市,新市區
2154,綠黨,446,1.9686,臺南市,新市區
2155,宗教聯盟,48,0.2119,臺南市,新市區
2156,民主進步黨,10150,44.8005,臺南市,新市區
2157,台灣民眾黨,2345,10.3505,臺南市,新市區
2158,台灣維新,75,0.3310,臺南市,新市區
2159,台澎黨,28,0.1236,臺南市,新市區
2160,國會政黨聯盟,37,0.1633,臺南市,新市區
2161,台灣團結聯盟,91,0.4017,臺南市,新市區
2164,合一行動聯盟,23,0.1216,臺南市,安定區
2165,中華統一促進黨,71,0.3753,臺南市,安定區
2166,親民黨,521,2.7538,臺南市,安定區
2167,安定力量,194,1.0254,臺南市,安定區
2168,台灣基進,775,4.0964,臺南市,安定區
2169,時代力量,1283,6.7815,臺南市,安定區
2170,新黨,50,0.2643,臺南市,安定區
2171,喜樂島聯盟,36,0.1903,臺南市,安定區
2172,中國國民黨,4153,21.9515,臺南市,安定區
2173,一邊一國行動黨,670,3.5414,臺南市,安定區
2174,勞動黨,28,0.1480,臺南市,安定區
2175,綠黨,299,1.5804,臺南市,安定區
2176,宗教聯盟,75,0.3964,臺南市,安定區
2177,民主進步黨,8866,46.8629,臺南市,安定區
2178,台灣民眾黨,1674,8.8482,臺南市,安定區
2179,台灣維新,24,0.1269,臺南市,安定區
2180,台澎黨,16,0.0846,臺南市,安定區
2181,國會政黨聯盟,88,0.4651,臺南市,安定區
2182,台灣團結聯盟,73,0.3859,臺南市,安定區
2185,合一行動聯盟,4,0.0899,臺南市,山上區
2186,中華統一促進黨,17,0.3819,臺南市,山上區
2187,親民黨,117,2.6286,臺南市,山上區
2188,安定力量,28,0.6291,臺南市,山上區
2189,台灣基進,160,3.5947,臺南市,山上區
2190,時代力量,282,6.3357,臺南市,山上區
2191,新黨,12,0.2696,臺南市,山上區
2192,喜樂島聯盟,10,0.2247,臺南市,山上區
2193,中國國民黨,1182,26.5558,臺南市,山上區
2194,一邊一國行動黨,182,4.0890,臺南市,山上區
2195,勞動黨,11,0.2471,臺南市,山上區
2196,綠黨,79,1.7749,臺南市,山上區
2197,宗教聯盟,12,0.2696,臺南市,山上區
2198,民主進步黨,2006,45.0685,臺南市,山上區
2199,台灣民眾黨,305,6.8524,臺南市,山上區
2200,台灣維新,12,0.2696,臺南市,山上區
2201,台澎黨,6,0.1348,臺南市,山上區
2202,國會政黨聯盟,7,0.1573,臺南市,山上區
2203,台灣團結聯盟,19,0.4269,臺南市,山上區
2206,合一行動聯盟,19,0.2316,臺南市,玉井區
2207,中華統一促進黨,59,0.7191,臺南市,玉井區
2208,親民黨,300,3.6563,臺南市,玉井區
2209,安定力量,34,0.4144,臺南市,玉井區
2210,台灣基進,278,3.3882,臺南市,玉井區
2211,時代力量,483,5.8867,臺南市,玉井區
2212,新黨,52,0.6338,臺南市,玉井區
2213,喜樂島聯盟,12,0.1463,臺南市,玉井區
2214,中國國民黨,3059,37.2821,臺南市,玉井區
2215,一邊一國行動黨,246,2.9982,臺南市,玉井區
2216,勞動黨,16,0.1950,臺南市,玉井區
2217,綠黨,103,1.2553,臺南市,玉井區
2218,宗教聯盟,28,0.3413,臺南市,玉井區
2219,民主進步黨,2802,34.1499,臺南市,玉井區
2220,台灣民眾黨,581,7.0810,臺南市,玉井區
2221,台灣維新,66,0.8044,臺南市,玉井區
2222,台澎黨,7,0.0853,臺南市,玉井區
2223,國會政黨聯盟,22,0.2681,臺南市,玉井區
2224,台灣團結聯盟,38,0.4631,臺南市,玉井區
2227,合一行動聯盟,3,0.0543,臺南市,楠西區
2228,中華統一促進黨,55,0.9949,臺南市,楠西區
2229,親民黨,176,3.1838,臺南市,楠西區
2230,安定力量,33,0.5970,臺南市,楠西區
2231,台灣基進,165,2.9848,臺南市,楠西區
2232,時代力量,241,4.3596,臺南市,楠西區
2233,新黨,30,0.5427,臺南市,楠西區
2234,喜樂島聯盟,15,0.2713,臺南市,楠西區
2235,中國國民黨,2467,44.6274,臺南市,楠西區
2236,一邊一國行動黨,192,3.4732,臺南市,楠西區
2237,勞動黨,10,0.1809,臺南市,楠西區
2238,綠黨,75,1.3567,臺南市,楠西區
2239,宗教聯盟,25,0.4522,臺南市,楠西區
2240,民主進步黨,1670,30.2098,臺南市,楠西區
2241,台灣民眾黨,320,5.7887,臺南市,楠西區
2242,台灣維新,16,0.2894,臺南市,楠西區
2243,台澎黨,5,0.0904,臺南市,楠西區
2244,國會政黨聯盟,3,0.0543,臺南市,楠西區
2245,台灣團結聯盟,27,0.4884,臺南市,楠西區
2248,合一行動聯盟,11,0.2186,臺南市,南化區
2249,中華統一促進黨,30,0.5962,臺南市,南化區
2250,親民黨,188,3.7361,臺南市,南化區
2251,安定力量,39,0.7750,臺南市,南化區
2252,台灣基進,156,3.1002,臺南市,南化區
2253,時代力量,255,5.0676,臺南市,南化區
2254,新黨,14,0.2782,臺南市,南化區
2255,喜樂島聯盟,6,0.1192,臺南市,南化區
2256,中國國民黨,1872,37.2019,臺南市,南化區
2257,一邊一國行動黨,129,2.5636,臺南市,南化區
2258,勞動黨,6,0.1192,臺南市,南化區
2259,綠黨,69,1.3712,臺南市,南化區
2260,宗教聯盟,19,0.3776,臺南市,南化區
2261,民主進步黨,1903,37.8180,臺南市,南化區
2262,台灣民眾黨,265,5.2663,臺南市,南化區
2263,台灣維新,23,0.4571,臺南市,南化區
2264,台澎黨,10,0.1987,臺南市,南化區
2265,國會政黨聯盟,7,0.1391,臺南市,南化區
2266,台灣團結聯盟,30,0.5962,臺南市,南化區
2269,合一行動聯盟,5,0.1799,臺南市,左鎮區
2270,中華統一促進黨,18,0.6475,臺南市,左鎮區
2271,親民黨,84,3.0216,臺南市,左鎮區
2272,安定力量,17,0.6115,臺南市,左鎮區
2273,台灣基進,73,2.6259,臺南市,左鎮區
2274,時代力量,106,3.8129,臺南市,左鎮區
2275,新黨,13,0.4676,臺南市,左鎮區
2276,喜樂島聯盟,14,0.5036,臺南市,左鎮區
2277,中國國民黨,824,29.6403,臺南市,左鎮區
2278,一邊一國行動黨,137,4.9281,臺南市,左鎮區
2279,勞動黨,8,0.2878,臺南市,左鎮區
2280,綠黨,28,1.0072,臺南市,左鎮區
2281,宗教聯盟,6,0.2158,臺南市,左鎮區
2282,民主進步黨,1226,44.1007,臺南市,左鎮區
2283,台灣民眾黨,120,4.3165,臺南市,左鎮區
2284,台灣維新,70,2.5180,臺南市,左鎮區
2285,台澎黨,7,0.2518,臺南市,左鎮區
2286,國會政黨聯盟,4,0.1439,臺南市,左鎮區
2287,台灣團結聯盟,20,0.7194,臺南市,左鎮區
2290,合一行動聯盟,56,0.1157,臺南市,仁德區
2291,中華統一促進黨,147,0.3037,臺南市,仁德區
2292,親民黨,1373,2.8370,臺南市,仁德區
2293,安定力量,633,1.3080,臺南市,仁德區
2294,台灣基進,2069,4.2751,臺南市,仁德區
2295,時代力量,3569,7.3746,臺南市,仁德區
2296,新黨,225,0.4649,臺南市,仁德區
2297,喜樂島聯盟,101,0.2087,臺南市,仁德區
2298,中國國民黨,12944,26.7460,臺南市,仁德區
2299,一邊一國行動黨,992,2.0498,臺南市,仁德區
2300,勞動黨,73,0.1508,臺南市,仁德區
2301,綠黨,1024,2.1159,臺南市,仁德區
2302,宗教聯盟,144,0.2975,臺南市,仁德區
2303,民主進步黨,20187,41.7121,臺南市,仁德區
2304,台灣民眾黨,4516,9.3313,臺南市,仁德區
2305,台灣維新,66,0.1364,臺南市,仁德區
2306,台澎黨,51,0.1054,臺南市,仁德區
2307,國會政黨聯盟,56,0.1157,臺南市,仁德區
2308,台灣團結聯盟,170,0.3513,臺南市,仁德區
2311,合一行動聯盟,46,0.1076,臺南市,歸仁區
2312,中華統一促進黨,78,0.1824,臺南市,歸仁區
2313,親民黨,1107,2.5894,臺南市,歸仁區
2314,安定力量,435,1.0175,臺南市,歸仁區
2315,台灣基進,1814,4.2431,臺南市,歸仁區
2316,時代力量,3161,7.3938,臺南市,歸仁區
2317,新黨,144,0.3368,臺南市,歸仁區
2318,喜樂島聯盟,70,0.1637,臺南市,歸仁區
2319,中國國民黨,9947,23.2667,臺南市,歸仁區
2320,一邊一國行動黨,902,2.1098,臺南市,歸仁區
2321,勞動黨,58,0.1357,臺南市,歸仁區
2322,綠黨,901,2.1075,臺南市,歸仁區
2323,宗教聯盟,106,0.2479,臺南市,歸仁區
2324,民主進步黨,19540,45.7055,臺南市,歸仁區
2325,台灣民眾黨,4118,9.6323,臺南市,歸仁區
2326,台灣維新,70,0.1637,臺南市,歸仁區
2327,台澎黨,40,0.0936,臺南市,歸仁區
2328,國會政黨聯盟,68,0.1591,臺南市,歸仁區
2329,台灣團結聯盟,147,0.3438,臺南市,歸仁區
2332,合一行動聯盟,31,0.1396,臺南市,關廟區
2333,中華統一促進黨,82,0.3694,臺南市,關廟區
2334,親民黨,584,2.6307,臺南市,關廟區
2335,安定力量,197,0.8874,臺南市,關廟區
2336,台灣基進,933,4.2029,臺南市,關廟區
2337,時代力量,1487,6.6985,臺南市,關廟區
2338,新黨,99,0.4460,臺南市,關廟區
2339,喜樂島聯盟,49,0.2207,臺南市,關廟區
2340,中國國民黨,5340,24.0551,臺南市,關廟區
2341,一邊一國行動黨,678,3.0542,臺南市,關廟區
2342,勞動黨,38,0.1712,臺南市,關廟區
2343,綠黨,394,1.7749,臺南市,關廟區
2344,宗教聯盟,80,0.3604,臺南市,關廟區
2345,民主進步黨,10164,45.7858,臺南市,關廟區
2346,台灣民眾黨,1820,8.1986,臺南市,關廟區
2347,台灣維新,43,0.1937,臺南市,關廟區
2348,台澎黨,29,0.1306,臺南市,關廟區
2349,國會政黨聯盟,45,0.2027,臺南市,關廟區
2350,台灣團結聯盟,106,0.4775,臺南市,關廟區
2353,合一行動聯盟,3,0.1171,臺南市,龍崎區
2354,中華統一促進黨,15,0.5853,臺南市,龍崎區
2355,親民黨,63,2.4581,臺南市,龍崎區
2356,安定力量,31,1.2095,臺南市,龍崎區
2357,台灣基進,44,1.7167,臺南市,龍崎區
2358,時代力量,132,5.1502,臺南市,龍崎區
2359,新黨,9,0.3512,臺南市,龍崎區
2360,喜樂島聯盟,4,0.1561,臺南市,龍崎區
2361,中國國民黨,788,30.7452,臺南市,龍崎區
2362,一邊一國行動黨,112,4.3699,臺南市,龍崎區
2363,勞動黨,2,0.0780,臺南市,龍崎區
2364,綠黨,22,0.8584,臺南市,龍崎區
2365,宗教聯盟,18,0.7023,臺南市,龍崎區
2366,民主進步黨,1154,45.0254,臺南市,龍崎區
2367,台灣民眾黨,134,5.2282,臺南市,龍崎區
2368,台灣維新,5,0.1951,臺南市,龍崎區
2369,台澎黨,12,0.4682,臺南市,龍崎區
2370,國會政黨聯盟,3,0.1171,臺南市,龍崎區
2371,台灣團結聯盟,12,0.4682,臺南市,龍崎區
2374,合一行動聯盟,101,0.0706,臺南市,永康區
2375,中華統一促進黨,211,0.1476,臺南市,永康區
2376,親民黨,4436,3.1025,臺南市,永康區
2377,安定力量,1533,1.0722,臺南市,永康區
2378,台灣基進,6494,4.5419,臺南市,永康區
2379,時代力量,12308,8.6082,臺南市,永康區
2380,新黨,786,0.5497,臺南市,永康區
2381,喜樂島聯盟,315,0.2203,臺南市,永康區
2382,中國國民黨,38918,27.2192,臺南市,永康區
2383,一邊一國行動黨,2352,1.6450,臺南市,永康區
2384,勞動黨,122,0.0853,臺南市,永康區
2385,綠黨,3479,2.4332,臺南市,永康區
2386,宗教聯盟,250,0.1748,臺南市,永康區
2387,民主進步黨,55455,38.7851,臺南市,永康區
2388,台灣民眾黨,14513,10.1504,臺南市,永康區
2389,台灣維新,304,0.2126,臺南市,永康區
2390,台澎黨,109,0.0762,臺南市,永康區
2391,國會政黨聯盟,196,0.1371,臺南市,永康區
2392,台灣團結聯盟,1098,0.7679,臺南市,永康區
2395,合一行動聯盟,74,0.0647,臺南市,東區
2396,中華統一促進黨,147,0.1285,臺南市,東區
2397,親民黨,3445,3.0115,臺南市,東區
2398,安定力量,2089,1.8262,臺南市,東區
2399,台灣基進,5860,5.1227,臺南市,東區
2400,時代力量,9744,8.5180,臺南市,東區
2401,新黨,952,0.8322,臺南市,東區
2402,喜樂島聯盟,325,0.2841,臺南市,東區
2403,中國國民黨,35041,30.6321,臺南市,東區
2404,一邊一國行動黨,1328,1.1609,臺南市,東區
2405,勞動黨,80,0.0699,臺南市,東區
2406,綠黨,3660,3.1995,臺南市,東區
2407,宗教聯盟,187,0.1635,臺南市,東區
2408,民主進步黨,39681,34.6883,臺南市,東區
